bacru;;;ba'u;
badna;;;;
badri;;dri;;
bajra;baj;;;
bakfu;baf;;;
bakni;bak;;;
bakri;;;;
baktu;;;;
balji;;;;
balni;;;;
balre;;;ba'e;
balvi;bav;;;
bancu;bac;;;
bandu;bad;;;
banfi;;;;
bangu;ban;;bau;
banli;bal;;ba'i;
banro;;;ba'o;
banxa;bax;;;
banzu;baz;;;
bapli;bap;;bai;
barda;;bra;;
bargu;bag;;;
barja;;;;
barna;;;ba'a;
bartu;bar;;;
basna;;;;
basti;bas;;;
batci;bat;;;
batke;;;;
bavmi;;;;
baxso;;;;
bebna;beb;;;
bemro;bem;;be'o;
bende;bed;;be'e;
bengo;beg;;;
benji;bej;;be'i;
bersa;bes;;be'a;
berti;ber;;;
besna;ben;;;
betfu;bef;;be'u;
betri;bet;;;
bevri;bev;;bei;
bi;biv;;;
bi'i;biz;;;
bidju;;;;
bifce;bic;;;
bikla;bik;;;
bilga;big;;;
bilma;;;bi'a;
bilni;bil;;;
bindo;bid;;;
binra;;;;
binxo;bix;;bi'o;
birje;;;;
birka;bir;;;
birti;bit;;;
bisli;bis;;;
bitmu;bim;;bi'u;
blabi;lab;;;
blaci;;;;
blanu;;bla;;
bliku;;bli;;
bloti;lot;blo;lo'i;
bo;bor;;;
bolci;bol;;boi;
bongu;bog;;bo'u;
botpi;bot;;bo'i;
boxfo;bof;;bo'o;
boxna;bon;;bo'a;
bradi;;;;
bratu;;;;
brazo;raz;;;
bredi;red;bre;;
bridi;;bri;;
brife;bif;;bi'e;
briju;bij;;;
brito;rit;;;
broda;rod;;;
brode;;;bo'e;
brodi;;;;
brodo;;;;
brodu;;;;
bruna;bun;;bu'a;
bu;bus;;bu'i;
bu'a;bul;;;
budjo;buj;;bu'o;
bukpu;buk;;bu'u;
bumru;bum;;;
bunda;bud;;;
bunre;bur;;bu'e;
burcu;;bru;;
burna;;;;
ca'a;caz;;;
cabna;cab;;;
cabra;;;ca'a;
cacra;;;;
cadzu;;dzu;;
cafne;caf;;;
cakla;;;;
calku;cak;;;
canci;;;;
cando;cad;;;
cange;cag;;;
canja;caj;;;
canko;;;ca'o;
canlu;cal;;ca'u;
canpa;;cna;;
canre;can;;;
canti;;;;
carce;;;;
carmi;cam;;cai;
carna;car;;;
cartu;cat;;;
carvi;cav;;;
casnu;;snu;;
catke;;;ca'e;
catlu;;cta;;
catni;;;ca'i;
catra;;;;
caxno;cax;;;
ce;cec;;;
ce'i;cez;;;
ce'o;;;ce'o;
cecla;cel;;ce'a;
cecmu;cem;;ce'u;
cedra;;;;
cenba;;cne;;
censa;ces;;;
centi;cen;;;
cerda;ced;;;
cerni;cer;;;
certu;;cre;;
cevni;cev;;cei;
cfari;;cfa;;
cfika;fik;;fi'a;
cfila;;cfi;;
cfine;;;;
cfipu;;;fi'u;
ci;cib;;;
ciblu;;blu;;
cicna;;;;
cidja;;dja;;
cidni;cid;;;
cidro;;dro;;
cifnu;cif;;;
cigla;cig;;;
cikna;cik;;;
cikre;;;;
ciksi;;cki;;
cilce;cic;;;
cilmo;cim;;;
cilre;;cli;;
cilta;cil;;;
cimde;;;;
cimni;;;;
cinba;;;;
cindu;;;;
cinfo;;;;
cinje;cij;;;
cinki;;;;
cinla;;;;
cinmo;;cni;;
cinri;;;ci'i;
cinse;cin;;;
cinta;;;;
cinza;;;;
cipni;;cpi;;
cipra;cip;;;
cirko;;cri;;
cirla;;;;
ciska;;;ci'a;
cisma;;;;
ciste;;;ci'e;
citka;;cti;;
citno;cit;;ci'o;
citri;cir;;;
citsi;;;;
civla;civ;;;
cizra;ciz;;;
ckabu;;;;
ckafi;kaf;;;
ckaji;;;kai;
ckana;;cka;;
ckape;cap;;;
ckasu;cas;;;
ckeji;kej;cke;;
ckiku;kik;;;
ckilu;;;ci'u;
ckini;;;ki'i;
ckire;kir;;;
ckule;kul;;cu'e;
ckunu;;;ku'u;
cladu;;;lau;
clani;;cla;;
claxu;;;cau;
clika;;;;
clira;lir;;;
clite;lit;;;
cliva;liv;;li'a;
clupa;cup;;;
cmaci;;;;
cmalu;;cma;;
cmana;;;ma'a;
cmavo;;;ma'o;
cmene;;cme;me'e;
cmila;;;mi'a;
cmima;mim;cmi;;
cmoni;;cmo;co'i;
cnano;;;na'o;
